title,url,published,description
"Class 2 Medicines Recall: Nitrofurantoin 50 mg Tablets, PL 08553/0087, EL (20)A/28",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-nitrofurantoin-50-mg-tablets-pl-08553-0087-el-20-a-28,2020-07-15,Dr Reddy’s Laboratories (UK) Limited is recalling all unexpired stock of a specific batch of Nitrofurantoin 50mg Tablets from pharmacies and wholesalers as a precautionary measure due to out of specification results for dissolution during routine stability testing.
MHRA symposia: good manufacturing practice (GMP) and good distribution practice (GDP),https://www.gov.uk/government/news/mhra-symposiums-good-manufacturing-practice-gmp-and-good-distribution-practice-gdp,2015-09-08,December 2015 and January 2016: Tickets are now available for the GMP and GDP symposia held in London and Glasgow.
"Valproate medicines (Epilim▼, Depakote▼): contraindicated in women and girls of childbearing potential unless conditions of Pregnancy Prevention Programme are met",https://www.gov.uk/drug-safety-update/valproate-medicines-epilim-depakote-contraindicated-in-women-and-girls-of-childbearing-potential-unless-conditions-of-pregnancy-prevention-programme-are-met,2018-04-24,"Valproate medicines must no longer be used in women or girls of childbearing potential unless a Pregnancy Prevention Programme is in place. Ensure all women and girls (and their parent, caregiver, or responsible person, if necessary) are fully informed of the risks and the need to avoid exposure to valproate medicines in pregnancy."
"Stimulant laxatives (bisacodyl, senna and sennosides, sodium picosulfate) available over-the-counter: new measures to support safe use ",https://www.gov.uk/drug-safety-update/stimulant-laxatives-bisacodyl-senna-and-sennosides-sodium-picosulfate-available-over-the-counter-new-measures-to-support-safe-use,2020-08-18,"We have introduced pack size restrictions, revised recommended ages for use, and new safety warnings for over-the-counter stimulant laxatives (orally and rectally administered) following a national safety review. Advise patients that dietary and lifestyle measures should be used first-line for relieving short-term occasional constipation and that stimulant laxatives should only be used if these measures and other laxatives are ineffective. "
Ban lifted on use of UK plasma to manufacture life-saving albumin treatments,https://www.gov.uk/government/news/ban-lifted-on-use-of-uk-plasma-to-manufacture-life-saving-albumin-treatments,2023-06-26,"Leading scientists at the independent Commission on Human Medicines (CHM) have confirmed that albumin, a critically important medicine for the NHS, can now be safely derived from UK plasma donors."
"Class 2 Medicines Recall: Huddersfield Pharmacy Specials MS 19055, Phosphates Solution for Infusion 500ml, EL (20)A/38",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-huddersfield-pharmacy-specials-ms-19055-phosphates-solution-for-infusion-500ml-el-20-a-38,2020-08-10,Huddersfield Pharmacy Specials (HPS) is recalling the above batches of phosphates solution for infusion due to observation of precipitation in batch 500609X. The decision to recall all other batches has been made as a precautionary measure.
Aquarius haemofiltration machines - follow instructions carefully,https://www.gov.uk/drug-device-alerts/medical-device-alert-aquarius-haemofiltration-machines-follow-instructions-carefully,2014-12-17,"(Edwards Lifesciences Ltd, supplied by Baxter Healthcare) reports that the wheels break if not used properly,  which could cause the machine to fall over to cause injury and interrupt therapy. (MDA/2010/039)"
"Class 4 Medicines Defect Information: Bleo-Kyowa, powder for solution for injection, 15,000 IU",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-bleo-kyowa-powder-for-solution-for-injection-15-000-iu,2018-02-22,"Caution in Use - Distribute to Hospital Pharmacy, Ward, Chemotherapy Unit and Clinic Level. (EL (18) A/05) "
Regulator helps to create new cancer medicine facility,https://www.gov.uk/government/news/regulator-helps-to-create-new-cancer-medicine-facility,2014-11-26,A brand new facility that ensures the continued supply of a critical cancer medicine forms the basis of the first case study released from the Innovation Office today at the MHRA.
Patient Involvement Strategy: One Year On,https://www.gov.uk/government/publications/patient-involvement-strategy-one-year-on,2023-03-09,"Progress made in delivering the Patient Involvement Strategy, October 2021 - September 2022."
"UPDATE: Class 2 Medicines Recall: Tesco Health Dry Cough Relief 200ml, Asda Strong Dry Tickly Cough 200ml, Almus Dry Cough Relief & Bells Dual Action Dry Cough, EL(25)A/03",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-tesco-health-dry-cough-relief-200ml-asda-strong-dry-tickly-cough-200ml-almus-dry-cough-relief-and-bells-dual-action-dry-cough-el-25-a-slash-03,2025-01-22,"Bells Healthcare is recalling the listed batches of dextromethorphan hydrobromide BP containing products as a precautionary measure, due to foreign material detected in some bottles. "
Class 2 Medicines Recall: Sanofi Epilim 500mg Gastro-Resistant Tablets EL (20)A/48*,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-sanofi-epilim-500mg-gastro-resistant-tablets-el-20-a-48,2020-10-14,Sanofi is recalling batches of product as a precautionary measure due to out of specification results for disintegration test during routine stability testing.
MHRA launches a consultation on indefinite recognition of CE-marked medical devices  ,https://www.gov.uk/government/news/mhra-launches-a-consultation-on-indefinite-recognition-of-ce-marked-medical-devices,2026-02-16,"MHRA launches a consultation on indefinite recognition of CE-marked medical devices  
"
Report of the Commission on Human Medicines Expert Working Group on COVID-19 vaccine safety surveillance,https://www.gov.uk/government/publications/report-of-the-commission-on-human-medicines-expert-working-group-on-covid-19-vaccine-safety-surveillance,2021-02-05,"The MHRA has developed, and now has in place, a four-stranded approach to vigilance, which is summarised in this report."
"Class 3 Medicines Recall: Intrapharm Laboratories Ltd, Kolanticon Gel 500ml, EL (21)A/01",https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-intrapharm-laboratories-ltd-kolanticon-gel-500ml-el-21-a-slash-01,2021-02-03,Intrapharm Laboratories Ltd has informed us that they have received complaints that the consistency of a batch of Kolanticon Gel 500ml is lumpy. An investigation and retained samples for this batch show the same homogeneity issue.
Patient Involvement Strategy: an assessment of progress,https://www.gov.uk/government/publications/patient-involvement-strategy-an-assessment-of-progress,2025-01-13,"Progress made in delivering the Patient Involvement Strategy, October 2021 - January 2025."
"Class 2 Medicines Recall: Kyowa Kirin Limited Mitomycin-C Kyowa, All Strengths (see alert for more information), (EL (19)A/33)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-kyowa-kirin-limited-mitomycin-c-kyowa-all-strengths-see-alert-for-more-information-el-19-a-33,2019-11-07,"This recall affects Mitomycin-C Kyowa 2 mg (PL 16508/0042), 10 mg (PL 16508/0043), 20 mg (PL 16508/0044), powder for solution for injection, and Mitomycin-C Kyowa 40 mg (PL 16508/0045), powder for intravesical solution. "
"Class 2 Medicines Recall: Mercury Pharmaceuticals Ltd, Paliperidone Mercury Pharma prolonged-release suspension for injection in pre-filled syringes, EL(26)A/01",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-mercury-pharmaceuticals-ltd-paliperidone-mercury-pharma-prolonged-release-suspension-for-injection-in-pre-filled-syringes-el-26-a-slash-01,2026-01-20,Mercury Pharmaceuticals Ltd is recalling remaining stock of paliperidone pre-filled syringes as a precautionary measure due to Good Manufacturing Practice (GMP) deficiencies cited during a recent inspection at the finished product manufacturing site. 
Hydroxyethyl starch intravenous infusions ,https://www.gov.uk/drug-safety-update/hydroxyethyl-starch-intravenous-infusions,2014-12-19,To be used only in patients with acute blood loss and when crystalloids alone are not sufficient.
Impact of extension of Medical Device Regulations transitional period and the validity of certificates in the EU,https://www.gov.uk/government/news/impact-of-extension-of-medical-device-regulations-transitional-period-and-the-validity-of-certificates-in-the-eu,2023-05-09,The European Parliament has voted to adopt an extension of the transition period for the EU Medical Device Regulations and to extend the validity of certain device certificates
Antiepileptic drugs: updated advice on switching between different manufacturers’ products ,https://www.gov.uk/drug-safety-update/antiepileptic-drugs-updated-advice-on-switching-between-different-manufacturers-products,2017-11-24,"In addition to the 3 risk-based categories of antiepileptic drugs, patient-related factors should be considered when deciding whether it is necessary to maintain continuity of supply for a specific product. "
"Class 3 Medicines Recall: Metoprolol 50 mg Tablets (PL 20075/0304), EL (20)A/49",https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-metoprolol-50-mg-tablets-pl-20075-0304-el-20-a-49,2020-10-14,"Accord Healthcare Ltd has informed us that when decommissioning at the pharmacy and scanning the serialised 2D code, the status of certain packs may report as ‘EXPORT.’ "
Extension of CE certificates,https://www.gov.uk/government/news/extension-of-ce-certificates,2023-03-28,The EU has taken steps to give manufacturers more time to get certain medical devices certified under the EU Medical Devices Regulation (EU MDR).
Intravenous dantrolene: risk of undissolved crystals,https://www.gov.uk/drug-safety-update/intravenous-dantrolene-risk-of-undissolved-crystals,2014-12-11,Use a filter needle when drawing up reconstituted dantrolene solution.
Couple sentenced for operating fake online pharmacy,https://www.gov.uk/government/news/couple-sentenced-for-operating-fake-online-pharmacy,2018-04-26,"A couple from Wellingborough, Northamptonshire, were sentenced at Northampton Crown Court yesterday for possession with intent to supply unlicensed medicinal products and Class C controlled drugs in the UK."
"Class 2 Medicines Recall: Aventis Pharma Limited (t/a Sanofi), Largactil 50mg/2ml Solution for Injection, EL (20)A/56",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-aventis-pharma-limited-t-a-sanofi-largactil-50mg-2ml-solution-for-injection-el-20-a-56,2020-11-26,Sanofi is recalling specific batches of Largactil 50mg/2ml Solution for Injection as a precautionary measure due to out of specification results obtained for the impurity chlorpromazine sulphoxide
"National Patient Safety Alert: Class 1 Medicines Recall Notification: Recall of Co-codamol 30/500 Effervescent Tablets, Batch 1K10121, Zentiva Pharma UK Ltd, due to precautionary risk of causing overdose, NatPSA/2021/004/MHRA",https://www.gov.uk/drug-device-alerts/national-patient-safety-alert-class-1-medicines-recall-notification-recall-of-co-codamol-30-slash-500-effervescent-tablets-batch-1k10121-zentiva-pharma-uk-ltd-due-to-precautionary-risk-of-causing-overdose-natpsa-slash-2021-slash-0,2021-06-16,Zentiva Pharma UK Limited is recalling the above batch of Co-codamol 30/500 Effervescent Tablets as a precautionary measure due to an issue with the homogeneity of the batch. This issue means that there is the potential for some tablets to have too little active ingredients (codeine phosphate and paracetamol) in them and some tablets to contain too much active ingredients
NIBSC selected by CEPI to test coronavirus vaccines globally,https://www.gov.uk/government/news/nibsc-selected-by-cepi-to-test-coronavirus-vaccines-globally,2020-10-20,The National Institute for Biological Standards and Control (NIBSC) will play a key role in evaluating vaccines that have been developed for COVID-19
Levothyroxine 100mcg tablets - recall of Teva UK and Numark branded product,https://www.gov.uk/drug-device-alerts/drug-alert-levothyroxine-100mcg-tablets-recall-of-teva-uk-and-numark-branded-product,2014-12-17,(Teva UK and Numark liveries) Remaining stock should be returned to wholesaler for credit – class 3 action within 5 days. (EL (12)A/13) 
"Class 3 FMD Medicines Recall, Beconase Aqueous Nasal Spray, (Beclometasone Dipropionate 50μg), PL 10949/0104, EL (20)A/07",https://www.gov.uk/drug-device-alerts/class-3-fmd-medicines-recall-beconase-aqueous-nasal-spray-beclometasone-dipropionate-50-g-pl-10949-0104-el-20-a-07,2020-02-12,Glaxo Wellcome UK Ltd T/A GSK has informed us of an issue related to error in the decommissioning of the K84X batch. 
